Wall time,Step,Value
1764559737.8667312,17317,495892.875
1764559737.9223454,17318,468231.3125
1764559738.084791,17321,448256.78125
1764559739.1195173,17340,529239.4375
1764559741.0324612,17375,436209.25
1764559741.9555373,17392,466305.4375
1764559742.8773627,17405,616673.0625
1764559742.9313855,17406,487976.25
1764559744.0684426,17427,466203.3125
1764559744.609408,17437,442199.8125
1764559745.042371,17445,453455.46875
1764559745.5830975,17455,482035.28125
1764559748.2397027,17504,461212.25
1764559748.6722555,17512,462818.625
1764559748.889149,17516,459499.84375
1764559750.4122424,17544,438841.875
1764559751.1753454,17558,556684.375
1764559751.5023742,17564,438045.21875
1764559752.2697024,17578,484067.125
1764559752.7573233,17587,462197.96875
1764559753.1389573,17594,514760.3125
1764559753.1935406,17595,437691.875
1764559753.410974,17599,505301.4375
1764559755.0257068,17624,455710.5625
1764559755.574428,17634,463224.375
1764559755.7905645,17638,454877.8125
1764559756.6597295,17654,437006.8125
1764559757.4261742,17668,526534.6875
1764559759.385436,17704,488542.34375
1764559759.8181062,17712,445849.8125
1764559760.4129524,17723,414441.75
1764559763.0788314,17772,472646.5625
1764559763.1326847,17773,432699.65625
1764559763.403694,17778,507806.96875
1764559765.0862129,17805,597105.5
1764559767.285878,17843,450473.46875
1764559773.3252327,17954,546496.3125
1764559773.81413,17963,418384.375
1764559774.689337,17979,451740.6875
1764559774.852023,17982,492350.21875
1764559775.342607,17991,471689.65625
1764559777.0813587,18019,534636.4375
1764559778.9250312,18053,439791.3125
1764559778.979473,18054,458966.65625
1764559779.4671078,18063,489333.5625
1764559779.6349678,18066,416983.0
1764559781.7581472,18105,481306.65625
